route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
03,2026H-DJF03-7-jours-05-03,6381009,MÛRS-ÉRIGNÉ Soland,6381009,1,030038,1,0
03,2026H-DJF03-7-jours-05-03,6381010,MÛRS-ÉRIGNÉ Soland,6381010,1,030038,1,0
03,2026H-DJF03-7-jours-05-03,6381011,MÛRS-ÉRIGNÉ Soland,6381011,1,030038,1,0
03,2026H-DJF03-7-jours-05-03,6381012,MÛRS-ÉRIGNÉ Soland,6381012,1,030038,1,0
03,2026H-DJF03-7-jours-05-03,6381013,MÛRS-ÉRIGNÉ Soland,6381013,1,030038,1,0
03,2026H-DJF03-7-jours-05-03,6381014,MÛRS-ÉRIGNÉ Soland,6381014,1,030038,1,0
220,SUB2526-SUB-VS-Semaine-MFR220-1011000-220,22003vs,ANGERS Terra Botanica,22003,1,220R0002,0,0
220,SUB2526-SUB-VS-Semaine-MFR220-0000100-220,22005vs,ANGERS Terra Botanica,22005,1,220R0002,0,0
05,2026H-LAV_05-Semaine-05-05,6375034,Sens B : 5B Aquavita,6375034,1,050044,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381245,MONPLAISIR,6381245,1,B0067,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381062,BELLE BEILLE CAMPUS,6381062,0,C0044,1,0
05,2026H-LAV_05-Semaine-05-05,6375033,Sens B : 5B Aquavita,6375033,1,050044,1,0
203,SUB2526-SUB-PSJ-Semaine-12-1101100-203,20303,LA MEMBROLLE - PRUILLÉ,20303,1,203R0001,0,0
09,2026H-PVS_09-Semaine-04-09,6368636,ÉCOUFLANT Éventard via ZI,6368636,0,090037,1,0
05,2026H-PVS_05-Semaine-04-05,6369195,Sens B : 5B Aquavita,6369195,1,050044,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381063,ROSERAIE,6381063,1,C0011,1,0
205,SUB2526-SUB-PSJ-Semaine-12-1101100-205,20503,SOULAIRE,20503,1,205R0002,0,0
02,2026H-PVS_02-Semaine-04-02,6369090,BEAUCOUZÉ Haute Roche,6369090,1,020040,1,0
158,SUB2526-SUB-PSJ-Semaine-12-158,15802,Collège Jean Rostand - Pôle Millot,15802,0,158A0002,0,0
02,2026H-PVS_02-Semaine-04-02,6369136,BEAUCOUZÉ Haute Roche,6369136,1,020040,1,0
09,2026H-PVS_09-Semaine-04-09,6368675,ÉCOUFLANT Éventard,6368675,0,090033,1,0
A,2026H-DJF_ABC-7-jours-05-A,6381064,ANGERS ROSERAIE,6381064,1,A0044,1,0
05,2026H-LAV_05-Semaine-05-05,6375035,Sens B : 5B Aquavita,6375035,1,050044,1,0
207,SUB2526-SUB-PSJ-Semaine-12-1101100-207,20703,FENEU,20703,1,207R0001,0,0
B,2026H-DJF_ABC-7-jours-05-B,6381065,BELLE BEILLE CAMPUS,6381065,0,B0033,1,0
220,SUB2526-SUB-PSJ-Semaine-12-1011000-220,22003,ANGERS Terra Botanica,22003,1,220R0002,0,0
206,SUB2526-SUB-PSJ-Semaine-12-1101100-206,20603,COLLÈGE JEAN ZAY,20603,1,206R0008,0,0
02,2026H-PVS_02-Semaine-04-02,6369091,BEAUCOUZÉ Haute Roche,6369091,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369092,BEAUCOUZÉ Haute Roche,6369092,1,020040,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381066,MONPLAISIR,6381066,1,B0044,1,0
02,2026H-PVS_02-Semaine-04-02,6369135,BEAUCOUZÉ Haute Roche,6369135,1,020040,1,0
10,2026H-PVS_10-Semaine-04-10,6368704,ANGERS Provins,6368704,0,100039,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381067,BELLE BEILLE CAMPUS,6381067,0,B0022,1,0
220,SUB2526-SUB-PSJ-Semaine-12-0000100-220,22005,ANGERS Terra Botanica,22005,1,220R0002,0,0
C,2026H-DJF_ABC-7-jours-05-C,6381068,BELLE BEILLE CAMPUS,6381068,0,C0019,1,0
09,2026H-PVS_09-Semaine-04-09,6368663,ÉCOUFLANT Éventard via ZI,6368663,0,090037,1,0
05,2026H-SAM_05-Samedi-64-05,6378353,Sens B : 5B Aquavita,6378353,1,050044,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381069,BELLE BEILLE CAMPUS,6381069,0,C0019,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381243,BELLE BEILLE CAMPUS,6381243,0,B0065,1,0
122,SUB2526-SUB-PSJ-Semaine-12-122,12209,ST SYLVAIN,12209,1,122R0002,0,0
02,2026H-PVS_02-Semaine-04-02,6369073,BEAUCOUZÉ Haute Roche,6369073,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369074,BEAUCOUZÉ Haute Roche,6369074,1,020040,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381070,BELLE BEILLE CAMPUS,6381070,0,C0019,1,0
122,SUB2526-SUB-PSJ-Semaine-12-1101100-122,12205,ST SYLVAIN,12205,1,122R0002,0,0
10,2026H-PVS_10-Semaine-04-10,6368716,TRÉLAZÉ St-Lézin,6368716,1,100042,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381246,MOLIERE,6381246,1,B0094,1,0
05,2026H-PVS_05-Semaine-04-05,6369196,Sens B : 5B Aquavita,6369196,1,050044,1,0
05,2026H-PVS_05-Semaine-04-05,6369197,Sens B : 5B Aquavita,6369197,1,050044,1,0
09,2026H-PVS_09-Semaine-04-09,6368624,LES PONTS-DE-CÉ Moulin Marcille,6368624,1,090042,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381071,BELLE BEILLE CAMPUS,6381071,0,C0019,1,0
02,2026H-PVS_02-Semaine-04-02,6369147,BEAUCOUZÉ Haute Roche,6369147,1,020040,1,0
09,2026H-PVS_09-Semaine-04-09,6368676,ECOUFLANT Eventard par Hippodrome,6368676,0,090035,1,0
B,2026H-DJF_ABC-7-jours-05-B,6381247,MOLIERE,6381247,1,B0094,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381072,BELLE BEILLE CAMPUS,6381072,0,C0019,1,0
02,2026H-PVS_02-Semaine-04-02,6369140,BEAUCOUZÉ Haute Roche,6369140,1,020040,1,0
02,2026H-PVS_02-Semaine-04-02,6369145,BEAUCOUZÉ Haute Roche,6369145,1,020040,1,0
C,2026H-DJF_ABC-7-jours-05-C,6381073,BELLE BEILLE CAMPUS,6381073,0,C0019,1,0
05,2026H-PVS_05-Semaine-04-05,6369200,Sens B : 5B Aquavita,6369200,1,050044,1,0
22,AFF2526-PVS_22-Semaine-03-22,6359808,ANGERS Gares Papin,6359808,0,220049,0,0
09,2026H-PVS_09-Semaine-04-09,6368651,LES PONTS-DE-CÉ Moulin Marcille,6368651,1,090040,1,0
09,2026H-PVS_09-Semaine-04-09,6368669,ÉCOUFLANT Éventard,6368669,0,090033,1,0
